HomeTeam,AwayTeam,FTHG,FTAG
Sanfrecce Hiroshima,Yokohama F. Marinos,1,3
Oita Trinita,Kofu,0,1
Sagan Tosu,Shimizu S-Pulse,0,1
Vegalta Sendai,Albirex Niigata,0,1
Kashima Antlers,Cerezo Osaka,1,0
Kashiwa Reysol,Nagoya Grampus,3,3
Shonan Bellmare,Kawasaki Frontale,1,1
Urawa Reds,Iwata,2,1
Kofu,Kashiwa Reysol,3,1
Nagoya Grampus,Albirex Niigata,2,0
Oita Trinita,Kashima Antlers,2,3
Vegalta Sendai,FC Tokyo,2,1
Yokohama F. Marinos,Kawasaki Frontale,2,1
Shimizu S-Pulse,Iwata,1,0
Cerezo Osaka,Omiya Ardija,1,2
Sanfrecce Hiroshima,Sagan Tosu,2,0
Urawa Reds,Shonan Bellmare,2,0
Kawasaki Frontale,Vegalta Sendai,4,2
Shimizu S-Pulse,Cerezo Osaka,1,1
FC Tokyo,Nagoya Grampus,3,1
Sagan Tosu,Kashiwa Reysol,0,3
Iwata,Sanfrecce Hiroshima,0,2
Omiya Ardija,Urawa Reds,1,0
Shonan Bellmare,Oita Trinita,2,1
Albirex Niigata,Yokohama F. Marinos,1,0
Kashima Antlers,Kofu,0,0
Kashiwa Reysol,Omiya Ardija,0,4
Albirex Niigata,Kashima Antlers,2,3
Cerezo Osaka,Oita Trinita,0,0
Nagoya Grampus,Sanfrecce Hiroshima,1,1
Iwata,Shonan Bellmare,4,0
Yokohama F. Marinos,Kofu,1,1
Urawa Reds,Shimizu S-Pulse,0,1
FC Tokyo,Kawasaki Frontale,2,0
Vegalta Sendai,Sagan Tosu,1,1
Oita Trinita,Omiya Ardija,0,2
Kofu,Iwata,2,1
Shimizu S-Pulse,Albirex Niigata,1,2
Yokohama F. Marinos,Kashima Antlers,1,1
Shonan Bellmare,Cerezo Osaka,0,3
Sagan Tosu,FC Tokyo,2,3
Kawasaki Frontale,Nagoya Grampus,2,1
Albirex Niigata,Kofu,1,1
Shimizu S-Pulse,Kawasaki Frontale,1,2
FC Tokyo,Iwata,2,2
Omiya Ardija,Sanfrecce Hiroshima,2,1
Cerezo Osaka,Urawa Reds,2,2
Kashima Antlers,Shonan Bellmare,1,0
Oita Trinita,Sagan Tosu,2,4
Kashiwa Reysol,Yokohama F. Marinos,2,1
Nagoya Grampus,Vegalta Sendai,0,2
Sanfrecce Hiroshima,Oita Trinita,1,0
Iwata,Kashiwa Reysol,0,1
Sagan Tosu,Albirex Niigata,1,3
Vegalta Sendai,Omiya Ardija,2,1
Kawasaki Frontale,Cerezo Osaka,2,2
Nagoya Grampus,Yokohama F. Marinos,1,2
Kofu,Shimizu S-Pulse,0,2
Shonan Bellmare,FC Tokyo,3,2
Urawa Reds,Kashima Antlers,3,1
Albirex Niigata,Oita Trinita,2,3
Sanfrecce Hiroshima,Kofu,5,1
Iwata,Kawasaki Frontale,2,4
Kashima Antlers,Nagoya Grampus,3,1
Kashiwa Reysol,Cerezo Osaka,1,3
Yokohama F. Marinos,Vegalta Sendai,0,0
Omiya Ardija,Shonan Bellmare,2,1
FC Tokyo,Shimizu S-Pulse,2,0
Urawa Reds,Sagan Tosu,6,2
Kofu,Omiya Ardija,0,3
Shimizu S-Pulse,Vegalta Sendai,2,0
Shonan Bellmare,Sanfrecce Hiroshima,0,2
Kawasaki Frontale,Albirex Niigata,2,1
Sagan Tosu,Yokohama F. Marinos,0,1
Oita Trinita,Iwata,1,1
Kashima Antlers,FC Tokyo,3,2
Cerezo Osaka,Nagoya Grampus,2,1
Kashiwa Reysol,Urawa Reds,2,6
Sanfrecce Hiroshima,Kashiwa Reysol,0,0
Urawa Reds,Vegalta Sendai,1,1
Kofu,Urawa Reds,0,1
FC Tokyo,Sanfrecce Hiroshima,0,1
Albirex Niigata,Kashiwa Reysol,3,2
Iwata,Cerezo Osaka,2,2
Kawasaki Frontale,Kashima Antlers,4,2
Nagoya Grampus,Shimizu S-Pulse,2,1
Omiya Ardija,Sagan Tosu,1,1
Vegalta Sendai,Shonan Bellmare,0,0
Yokohama F. Marinos,Oita Trinita,1,1
Cerezo Osaka,Yokohama F. Marinos,2,1
Sanfrecce Hiroshima,Kawasaki Frontale,4,2
Iwata,Albirex Niigata,2,1
Kashima Antlers,Shimizu S-Pulse,3,1
Oita Trinita,Vegalta Sendai,0,1
Omiya Ardija,Nagoya Grampus,2,1
Sagan Tosu,Kofu,2,1
Shonan Bellmare,Kashiwa Reysol,1,2
Urawa Reds,FC Tokyo,2,2
Shimizu S-Pulse,Oita Trinita,3,1
Kofu,Shonan Bellmare,0,1
Albirex Niigata,FC Tokyo,0,3
Sanfrecce Hiroshima,Cerezo Osaka,1,0
Kashiwa Reysol,Kashima Antlers,2,1
Kawasaki Frontale,Urawa Reds,4,0
Nagoya Grampus,Sagan Tosu,3,2
Vegalta Sendai,Iwata,1,1
Yokohama F. Marinos,Omiya Ardija,2,1
Cerezo Osaka,Sagan Tosu,4,1
Kashima Antlers,Iwata,1,1
Kashiwa Reysol,Shimizu S-Pulse,2,2
Oita Trinita,Nagoya Grampus,1,2
Omiya Ardija,Kawasaki Frontale,2,3
Shonan Bellmare,Albirex Niigata,0,2
Urawa Reds,Yokohama F. Marinos,2,3
Vegalta Sendai,Sanfrecce Hiroshima,0,2
FC Tokyo,Kofu,4,1
Albirex Niigata,Cerezo Osaka,1,0
Sanfrecce Hiroshima,Omiya Ardija,3,1
Iwata,Urawa Reds,1,2
Kawasaki Frontale,Shonan Bellmare,1,2
