HomeTeam,AwayTeam,FTHG,FTAG
Rubin Kazan,Akhmat Grozny,1,1
Spartak Moscow,Dynamo Moscow,3,2
Tomsk,FK Rostov,3,2
Volga N. Novgorod,Ural,1,2
Ufa,Tomsk,5,1
T. Moscow,Krylya Sovetov,2,0
Tomsk,Ufa,3,1
Krylya Sovetov,T. Moscow,0,0
Rubin Kazan,Spartak Moscow,0,4
Ural,M. Saransk,2,3
Arsenal Tula,Zenit,0,4
CSKA Moscow,T. Moscow,4,1
Dynamo Moscow,FK Rostov,7,3
Kuban,Ufa,2,0
Lokomotiv Moscow,Krasnodar,0,0
Akhmat Grozny,Amkar,4,0
Amkar,Ufa,0,1
Kuban,FK Rostov,2,2
M. Saransk,CSKA Moscow,0,1
Zenit,T. Moscow,8,1
Akhmat Grozny,Rubin Kazan,1,1
Dynamo Moscow,Spartak Moscow,1,2
Ural,Krasnodar,1,1
Arsenal Tula,Lokomotiv Moscow,0,2
T. Moscow,Amkar,1,1
Ufa,Dynamo Moscow,0,2
Ural,Zenit,1,2
Arsenal Tula,Rubin Kazan,0,0
CSKA Moscow,Akhmat Grozny,1,0
Lokomotiv Moscow,FK Rostov,2,1
Krasnodar,Spartak Moscow,4,0
M. Saransk,Kuban,0,0
Ural,T. Moscow,0,2
Zenit,Ufa,1,0
CSKA Moscow,Spartak Moscow,0,1
Arsenal Tula,Dynamo Moscow,1,2
Rubin Kazan,Lokomotiv Moscow,1,1
FK Rostov,Krasnodar,0,2
Akhmat Grozny,M. Saransk,1,0
Kuban,Amkar,1,0
Akhmat Grozny,Arsenal Tula,3,0
Ufa,Spartak Moscow,1,2
Zenit,Amkar,2,0
Rubin Kazan,CSKA Moscow,2,1
Dynamo Moscow,Ural,2,0
T. Moscow,Krasnodar,0,3
Kuban,Lokomotiv Moscow,2,1
FK Rostov,M. Saransk,2,1
Ural,Akhmat Grozny,0,1
M. Saransk,T. Moscow,1,0
Amkar,Spartak Moscow,2,0
Arsenal Tula,Kuban,0,1
CSKA Moscow,FK Rostov,6,0
Rubin Kazan,Ufa,1,1
Lokomotiv Moscow,Zenit,0,1
Krasnodar,Dynamo Moscow,0,2
CSKA Moscow,Arsenal Tula,2,1
Lokomotiv Moscow,M. Saransk,1,1
Zenit,Dynamo Moscow,3,2
FK Rostov,Rubin Kazan,1,2
Spartak Moscow,T. Moscow,3,1
Krasnodar,Ufa,0,2
Amkar,Ural,2,1
Akhmat Grozny,Kuban,0,0
Arsenal Tula,M. Saransk,0,1
Ufa,Ural,0,1
FK Rostov,Zenit,0,5
Kuban,Rubin Kazan,2,1
Spartak Moscow,Akhmat Grozny,1,1
CSKA Moscow,Lokomotiv Moscow,1,0
Amkar,Krasnodar,1,2
T. Moscow,Dynamo Moscow,1,3
Ural,CSKA Moscow,3,4
M. Saransk,Ufa,0,2
Zenit,Spartak Moscow,0,0
Dynamo Moscow,Kuban,2,2
Lokomotiv Moscow,Amkar,3,1
Krasnodar,Arsenal Tula,3,0
Akhmat Grozny,FK Rostov,2,1
Rubin Kazan,T. Moscow,2,1
CSKA Moscow,Kuban,6,0
Krasnodar,Zenit,2,2
Lokomotiv Moscow,Akhmat Grozny,2,1
Ural,Spartak Moscow,2,0
Arsenal Tula,FK Rostov,1,1
Ufa,T. Moscow,1,1
Rubin Kazan,M. Saransk,5,0
Ural,Arsenal Tula,1,0
Amkar,FK Rostov,2,0
T. Moscow,Kuban,0,0
Spartak Moscow,Lokomotiv Moscow,1,1
Ufa,CSKA Moscow,3,3
Zenit,M. Saransk,5,0
Krasnodar,Akhmat Grozny,2,0
Dynamo Moscow,Rubin Kazan,0,2
FK Rostov,Ural,1,0
CSKA Moscow,Zenit,0,1
Lokomotiv Moscow,Dynamo Moscow,4,2
M. Saransk,Krasnodar,2,1
Kuban,Spartak Moscow,3,3
T. Moscow,Arsenal Tula,0,1
Rubin Kazan,Amkar,1,1
Akhmat Grozny,Ufa,1,0
Ural,Kuban,0,1
Amkar,M. Saransk,0,1
T. Moscow,Lokomotiv Moscow,0,1
Zenit,Akhmat Grozny,1,3
Dynamo Moscow,CSKA Moscow,1,0
Ufa,FK Rostov,0,0
Krasnodar,Rubin Kazan,2,0
Spartak Moscow,Arsenal Tula,2,0
Ural,Rubin Kazan,1,3
T. Moscow,FK Rostov,2,1
Krasnodar,CSKA Moscow,2,1
Zenit,Kuban,1,0
Dynamo Moscow,Akhmat Grozny,3,0
Arsenal Tula,Amkar,4,0
Spartak Moscow,M. Saransk,4,2
Lokomotiv Moscow,Ufa,0,0
FK Rostov,Amkar,1,1
Arsenal Tula,Ural,1,2
CSKA Moscow,Ufa,5,0
M. Saransk,Zenit,1,0
Kuban,T. Moscow,1,1
Lokomotiv Moscow,Spartak Moscow,1,0
Rubin Kazan,Dynamo Moscow,1,1
Akhmat Grozny,Krasnodar,0,1
Arsenal Tula,Ufa,0,1
CSKA Moscow,Amkar,2,1
Rubin Kazan,Zenit,0,1
Lokomotiv Moscow,Ural,1,0
Akhmat Grozny,T. Moscow,0,1
Kuban,Krasnodar,1,1
M. Saransk,Dynamo Moscow,0,1
Spartak Moscow,FK Rostov,1,1
Zenit,Krasnodar,4,0
Kuban,CSKA Moscow,0,1
Akhmat Grozny,Lokomotiv Moscow,0,0
Dynamo Moscow,Amkar,5,0
M. Saransk,Rubin Kazan,0,1
T. Moscow,Ufa,2,2
FK Rostov,Arsenal Tula,0,1
Spartak Moscow,Ural,2,0
Akhmat Grozny,CSKA Moscow,1,2
Zenit,Ural,3,0
Spartak Moscow,Krasnodar,1,3
Dynamo Moscow,Ufa,3,1
FK Rostov,Lokomotiv Moscow,0,1
Amkar,T. Moscow,0,0
Rubin Kazan,Arsenal Tula,1,0
Kuban,M. Saransk,0,0
Krasnodar,Ural,1,1
Ufa,Amkar,1,1
CSKA Moscow,M. Saransk,4,0
Lokomotiv Moscow,Arsenal Tula,0,1
Spartak Moscow,Dynamo Moscow,1,0
T. Moscow,Zenit,1,1
Rubin Kazan,Akhmat Grozny,2,1
FK Rostov,Kuban,2,1
Ufa,Krasnodar,0,2
Ural,Amkar,1,0
Arsenal Tula,CSKA Moscow,1,4
Rubin Kazan,FK Rostov,2,0
T. Moscow,Spartak Moscow,0,1
Dynamo Moscow,Zenit,0,1
M. Saransk,Lokomotiv Moscow,0,0
Kuban,Akhmat Grozny,1,0
Amkar,Rubin Kazan,0,3
Dynamo Moscow,Lokomotiv Moscow,2,2
Krasnodar,M. Saransk,4,0
Spartak Moscow,Kuban,1,1
Zenit,CSKA Moscow,2,1
