HomeTeam,AwayTeam,FTHG,FTAG
Wisla,Gornik Z.,2,3
Lech Poznan,Pogon Szczecin,0,0
Legia,Ruch,1,2
Zawisza,Lechia Gdansk,0,0
Jagiellonia,Korona Kielce,4,4
Podbeskidzie,Zaglebie,2,0
Slask Wroclaw,Cracovia,1,0
Lech Poznan,Ruch,4,0
Lechia Gdansk,Wisla,2,2
Pogon Szczecin,Legia,0,1
Widzew Lodz,Piast Gliwice,2,1
Zawisza,Gornik Z.,0,1
Cracovia,Jagiellonia,2,2
Korona Kielce,Slask Wroclaw,1,5
Piast Gliwice,Podbeskidzie,2,2
Zaglebie,Widzew Lodz,0,3
Gornik Z.,Lechia Gdansk,0,2
Legia,Lech Poznan,2,0
Ruch,Pogon Szczecin,0,0
Wisla,Zawisza,2,1
Podbeskidzie,Pogon Szczecin,2,3
Leczna,Wisla,1,1
Jagiellonia,Lechia Gdansk,2,2
Legia,GKS Belchatow,0,1
Lech Poznan,Piast Gliwice,4,0
Zawisza,Korona Kielce,2,0
Slask Wroclaw,Ruch,2,0
Gornik Z.,Cracovia,2,0
GKS Belchatow,Korona Kielce,2,0
Lechia Gdansk,Podbeskidzie,1,0
Pogon Szczecin,Slask Wroclaw,4,1
Cracovia,Legia,1,3
Ruch,Leczna,1,2
Zawisza,Jagiellonia,1,3
Gornik Z.,Lech Poznan,1,1
Wisla,Piast Gliwice,1,1
Jagiellonia,Cracovia,2,1
Piast Gliwice,Lechia Gdansk,1,3
Korona Kielce,Pogon Szczecin,2,2
Legia,Gornik Z.,1,1
Podbeskidzie,Ruch,3,0
Slask Wroclaw,Zawisza,2,1
Lech Poznan,Wisla,2,3
Leczna,GKS Belchatow,1,1
Cracovia,Korona Kielce,2,1
Gornik Z.,Jagiellonia,3,0
GKS Belchatow,Slask Wroclaw,2,0
Legia,Leczna,5,0
Lechia Gdansk,Lech Poznan,1,2
Zawisza,Podbeskidzie,1,2
Wisla,Ruch,2,2
Pogon Szczecin,Piast Gliwice,0,0
Korona Kielce,Gornik Z.,0,3
Jagiellonia,Legia,0,3
Leczna,Zawisza,5,2
Piast Gliwice,Ruch,0,1
Lech Poznan,Pogon Szczecin,1,1
Slask Wroclaw,Cracovia,0,0
Wisla,Lechia Gdansk,3,1
Podbeskidzie,GKS Belchatow,1,1
Zawisza,Lechia Gdansk,0,2
Pogon Szczecin,Wisla,0,3
Cracovia,Podbeskidzie,1,3
Gornik Z.,Leczna,2,0
Jagiellonia,Slask Wroclaw,1,3
Legia,Korona Kielce,2,0
Ruch,Lech Poznan,0,0
GKS Belchatow,Piast Gliwice,0,0
Piast Gliwice,Zawisza,3,0
Wisla,GKS Belchatow,1,0
Leczna,Pogon Szczecin,4,2
Slask Wroclaw,Gornik Z.,2,0
Korona Kielce,Jagiellonia,0,3
Lechia Gdansk,Ruch,3,3
Podbeskidzie,Legia,2,1
Lech Poznan,Cracovia,1,1
Zawisza,Wisla,2,4
Pogon Szczecin,Ruch,1,1
Cracovia,Leczna,2,1
Jagiellonia,Lech Poznan,1,0
Legia,Slask Wroclaw,4,3
Gornik Z.,Piast Gliwice,1,2
GKS Belchatow,Lechia Gdansk,1,1
Korona Kielce,Podbeskidzie,2,1
Slask Wroclaw,Korona Kielce,1,0
Lechia Gdansk,Pogon Szczecin,0,1
Piast Gliwice,Cracovia,4,2
Podbeskidzie,Gornik Z.,0,3
Lech Poznan,Zawisza,6,2
Ruch,GKS Belchatow,0,1
Wisla,Legia,0,3
Leczna,Jagiellonia,0,0
Korona Kielce,Piast Gliwice,1,0
Slask Wroclaw,Leczna,2,1
Zawisza,Ruch,1,1
GKS Belchatow,Pogon Szczecin,1,0
Legia,Lech Poznan,2,2
Gornik Z.,Lechia Gdansk,2,2
Cracovia,Wisla,1,0
Jagiellonia,Podbeskidzie,4,2
Podbeskidzie,Slask Wroclaw,2,2
Wisla,Jagiellonia,0,2
Leczna,Korona Kielce,1,0
Lechia Gdansk,Cracovia,1,0
Ruch,Gornik Z.,1,2
Piast Gliwice,Legia,3,1
Pogon Szczecin,Zawisza,3,0
Lech Poznan,GKS Belchatow,5,0
Cracovia,Ruch,1,0
Legia,Lechia Gdansk,1,0
Podbeskidzie,Leczna,1,0
Slask Wroclaw,Piast Gliwice,3,0
Jagiellonia,Pogon Szczecin,5,0
Korona Kielce,Lech Poznan,2,2
Gornik Z.,Wisla,0,5
Zawisza,GKS Belchatow,2,1
GKS Belchatow,Gornik Z.,1,0
Wisla,Podbeskidzie,3,2
Lechia Gdansk,Slask Wroclaw,1,4
Piast Gliwice,Jagiellonia,0,2
Pogon Szczecin,Cracovia,2,1
Lech Poznan,Leczna,1,0
Zawisza,Legia,1,2
Ruch,Korona Kielce,0,1
Leczna,Lechia Gdansk,1,1
Korona Kielce,Wisla,3,2
Gornik Z.,Pogon Szczecin,1,1
Cracovia,Zawisza,1,0
Slask Wroclaw,Lech Poznan,1,1
Legia,Ruch,2,1
Podbeskidzie,Piast Gliwice,2,4
Jagiellonia,GKS Belchatow,0,1
Piast Gliwice,Leczna,0,0
Lech Poznan,Podbeskidzie,1,1
Lechia Gdansk,Korona Kielce,1,2
GKS Belchatow,Cracovia,1,1
Wisla,Slask Wroclaw,1,1
Ruch,Jagiellonia,5,2
Zawisza,Gornik Z.,1,2
Pogon Szczecin,Legia,2,1
Ruch,Slask Wroclaw,1,0
GKS Belchatow,Legia,0,3
Pogon Szczecin,Podbeskidzie,1,2
Wisla,Leczna,2,0
Korona Kielce,Zawisza,2,2
Lechia Gdansk,Jagiellonia,1,1
Piast Gliwice,Lech Poznan,3,2
Cracovia,Gornik Z.,1,2
Leczna,Ruch,3,0
Piast Gliwice,Wisla,0,0
Jagiellonia,Zawisza,0,0
Podbeskidzie,Lechia Gdansk,1,0
Korona Kielce,GKS Belchatow,2,0
Lech Poznan,Gornik Z.,3,0
Slask Wroclaw,Pogon Szczecin,1,1
Legia,Cracovia,2,0
Zawisza,Slask Wroclaw,0,1
Gornik Z.,Legia,0,4
GKS Belchatow,Leczna,1,1
Pogon Szczecin,Korona Kielce,2,0
Cracovia,Jagiellonia,1,1
Lechia Gdansk,Piast Gliwice,3,1
Wisla,Lech Poznan,1,2
Ruch,Podbeskidzie,2,0
Korona Kielce,Cracovia,1,2
Slask Wroclaw,GKS Belchatow,2,1
Jagiellonia,Gornik Z.,1,0
Ruch,Wisla,1,2
Lech Poznan,Lechia Gdansk,1,0
Podbeskidzie,Zawisza,2,1
Leczna,Legia,3,1
