HomeTeam,AwayTeam,FTHG,FTAG
Guangzhou R&F,Hebei,1,2
Henan Songshan Longmen,Shanghai SIPG,1,0
Jiangsu Suning,Shandong Luneng,3,0
Shanghai Shenhua,Yanbian,1,1
Chongqing Liangjiang Athletic,Guangzhou Evergrande,2,1
Shijiazhuang,Liaoning,0,1
Hangzhou Greentown,Changchun Yatai,2,1
Jiangsu Suning,Yanbian,2,1
Shandong Luneng,Liaoning,3,2
Shanghai SIPG,Shanghai Shenhua,1,1
Guangzhou Evergrande,Changchun Yatai,3,0
Tianjin Jinmen Tiger,Guangzhou R&F,0,1
Chongqing Liangjiang Athletic,Henan Songshan Longmen,0,1
Shijiazhuang,Hangzhou Greentown,1,0
Tianjin Jinmen Tiger,Beijing Guoan,0,0
Guangzhou Evergrande,Guangzhou R&F,2,0
Hangzhou Greentown,Shandong Luneng,2,0
Yanbian,Beijing Guoan,1,0
Chongqing Liangjiang Athletic,Shanghai SIPG,1,1
Liaoning,Henan Songshan Longmen,1,1
Hebei,Jiangsu Suning,1,1
Changchun Yatai,Tianjin Jinmen Tiger,4,4
Shanghai Shenhua,Shijiazhuang,3,1
Guangzhou R&F,Yanbian,0,0
Shijiazhuang,Chongqing Liangjiang Athletic,1,1
Beijing Guoan,Guangzhou Evergrande,0,3
Henan Songshan Longmen,Jiangsu Suning,0,1
Changchun Yatai,Hebei,0,1
Shanghai SIPG,Liaoning,4,0
Tianjin Jinmen Tiger,Hangzhou Greentown,1,0
Shanghai Shenhua,Shandong Luneng,0,0
Shanghai SIPG,Guangzhou R&F,1,0
Guangzhou Evergrande,Henan Songshan Longmen,2,1
Shandong Luneng,Yanbian,3,1
Liaoning,Tianjin Jinmen Tiger,2,2
Jiangsu Suning,Shanghai Shenhua,2,0
Hebei,Shijiazhuang,1,1
Chongqing Liangjiang Athletic,Changchun Yatai,1,1
Hangzhou Greentown,Beijing Guoan,0,3
Hangzhou Greentown,Chongqing Liangjiang Athletic,1,1
Yanbian,Henan Songshan Longmen,1,2
Guangzhou R&F,Jiangsu Suning,1,1
Beijing Guoan,Liaoning,0,0
Changchun Yatai,Shanghai SIPG,1,3
Shanghai Shenhua,Hebei,2,0
Shijiazhuang,Shandong Luneng,2,1
Tianjin Jinmen Tiger,Guangzhou Evergrande,0,4
Jiangsu Suning,Changchun Yatai,2,0
Shandong Luneng,Guangzhou R&F,2,3
Shanghai SIPG,Yanbian,3,0
Liaoning,Hebei,0,2
Chongqing Liangjiang Athletic,Beijing Guoan,1,1
Guangzhou Evergrande,Shanghai Shenhua,2,1
Henan Songshan Longmen,Hangzhou Greentown,1,0
Tianjin Jinmen Tiger,Shijiazhuang,2,0
Hebei,Henan Songshan Longmen,4,3
Liaoning,Shanghai Shenhua,0,0
Guangzhou R&F,Chongqing Liangjiang Athletic,2,0
Yanbian,Changchun Yatai,2,0
Beijing Guoan,Jiangsu Suning,1,2
Hangzhou Greentown,Guangzhou Evergrande,1,2
Shandong Luneng,Tianjin Jinmen Tiger,2,3
Shijiazhuang,Shanghai SIPG,1,2
Changchun Yatai,Shandong Luneng,0,0
Guangzhou Evergrande,Hebei,2,0
Beijing Guoan,Shanghai SIPG,2,1
Henan Songshan Longmen,Tianjin Jinmen Tiger,0,0
Jiangsu Suning,Shijiazhuang,0,0
Yanbian,Chongqing Liangjiang Athletic,1,1
Hangzhou Greentown,Liaoning,0,0
Shanghai Shenhua,Guangzhou R&F,5,1
Beijing Guoan,Hebei,0,2
Liaoning,Guangzhou Evergrande,0,3
Shandong Luneng,Henan Songshan Longmen,0,0
Shanghai SIPG,Hangzhou Greentown,1,0
